
o    ：
getp 盖铁
getr 个头
getr 盖头
gets 歌僮
gett 哥
getu 疙秃
getu 盖土
getv 革退
getz 各腾
geua 各杀
geua 盖沙
geuc 格少
geud 各色
geue 割舍
geue 盖摄
geuf 盖帅
geug 割伤
geug 盖上
geui 丐儿石
geui 各式
geui 戈二氏
geui 格式
geui 格栅
geui 盖世
geui 盖石
geui 耕而食
geuj 格栅
geuk 割身
geul 盖爽
geuo 各说
geur 歌手
geur 盖手
geuu 个数
geuu 寡二少双
geuv 个税
geuv 各说
geuz 各省
geuz 歌声
gev 鸽
geva 格栅
geva 盖扎
gevc 盖着
gevc 隔着
gevd 葛寨
geve 嘅啫
geve 盖着
geve 隔着
gevg 盖章
gevh 格砖
gevh 盖砖
gevi 个
gevi 怪唔知
gevi 搁置
gevi 胳肢
gevj 各占
gevk 各镇
gevl 各庄
gevo 盖着
gevo 隔着
gevr 各州
gevr 盖州
gevs 个中
gevs 各种
gevs 盖重
gevs 鸽
gevu 广二磔手
gevu 盖住
gevv 仡
gevz 格正
gewa 各瓦
gewa 盖瓦
gewd 格外
gewg 个王
gewj 国尔忘家
gewo 格窝
gews 公而忘私
gewu 歌舞
geww 个位
geww 各位
gex 哿
gexb 盖勋
gexf 个性
gexf 各省
gexf 各行
gexf 歌星
gexi 个席
gexi 广二星蝽
gexi 盖溪
gexk 阁下
gexl 古二乡
gexl 各项
gexl 咯尔乡
gexl 咯香
gexl 蛤像
gexm 各县
gexm 盖县
gexn 各校
gexp 个协
gexp 咯血
gexs 葛雄
gext 哿
gext 隔宿
gexu 改恶向善
gexu 改恶行善
gexx 革新
gexx 顾尔镡
gexy 咯血
gey 圪
geya 哥雅
geya 盖亚
geyb 盖云
geyc 孤儿药
geyc 歌谣
geye 各业
geye 嘅嘢
geye 盖耶
geyf 个应
geyg 各样
geyh 乾恩园
geyh 塥
geyi 各异
geyi 耕而食
geyj 格言
geyl 恭而有礼
geyr 各有
geys 歌咏
geyu 割与
geyu 盖尔语
geyv 圪
geyx 隔音
geyy 个月
geyy 各说
gez 铬
geza 盖扎
geza 铬
gezb 葛樽
gezc 拐儿枣
gezc 格蚤
gezd 歌仔
gezd 盖在
gezd 阁仔
geze 嘅啫
gezg 盖藏
gezh 镉
gezi 个子
gezi 各自
gezi 格子
gezi 歌仔
gezi 盖子
gezi 阁仔
gezi 鸽子
gezj 歌赞
gezo 割作
gezr 割走
gezs 格宗
gezu 各族
gezu 各组
gezv 割咀
gf 怪
gfai 乖碍
gfbf 冠腐病
gfbf 怪病
gfbf 沟腐病
gfbg 拐棒
gfbh 怪风毙孩
gfbi 国防部长
gfbi 怪秘
gfbj 国富兵强
gfbj 狗吠不惊
gfbl 高分辨率
gfbm 乖变
gfbm 更方便
gfbo 乖驳
gfbo 感风簿
gfbo 顾逢伯
gfbp 乖别
gfbq 国富兵强
gfbr 功夫不负有心人
gfbt 古赋辩体
gfbu 国防部
gfbu 感风簿
gfbu 高分辨率
gfbv 国防部长
gfbw 乖背
gfbw 歌风碑
gfby 故非别也
gfcb 卦畈村
gfcb 古粉村
gfcb 怪村
gfcb 格畈村
gfcc 沟稃草
gfcd 怪才
gfce 故非此二
gfci 乖差
gfco 乖错
gfcz 郭法曾
gfda 拐打
gfdb 乖盾
gfdc 乖到
gfdc 刮腐刀
gfdc 戈夫岛
gfdd 拐带
gfde 乖得
gfdf 骨锋钉
gfdg 贵佛道故
gfdh 寡凫单鹄
gfdi 乖的
gfdi 共沸的
gfdi 广泛的
gfdj 怪诞
gfdm 咖啡店
gfdm 拐点
gfdn 乖刁
gfdn 乖调
gfdn 怪鸟
gfdo 乖度
gfdo 过封度
gfdp 怪谍
gfds 乖动
gfds 高付东
gfdu 乖度
gfdu 过封度
gfdv 怪堆
gfdw 乖得
gfdx 国防大学
gfdy 孤飞独运
gfea 苟附而安
gfee 乖讹
gfee 膏锋锷
gfek 古蝠蛾科
gfer 乖儿
gfer 格夫尔
gff 拐
gffg 乖方
gffj 乖反
gffk 乖分
gffo 拐
gffq 掴
gffu 广防风属
gffu 戈范福
gffv 广防风属
gffv 狗吠非主
gfgb 拐棍
gfge 乖隔
gfge 伽菲伽而
gfge 搞返个
gfgf 乖乖
gfgg 拐岗
gfgh 咖啡馆
gfgl 规范管理
gfgo 怪过
gfgq 乖寡
gfgr 怪狗
gfgs 股份公司
gfgu 拐固
gfgv 广泛关注
gfgx 高钒钢型
gfgz 乖梗
gfh 规范化
gfha 拐哈
gfhb 掴混
gfhc 怪好
gfhd 怪骇
gfhd 郭逢海
gfhe 乖和
gfhe 咯矾盒
gfhh 怪幻
gfhj 怪憾
gfhk 怪恨
gfhm 光防护门
gfho 乖和
gfhq 怪话
gfhq 规范化
gfht 购房合同
gfhu 乖互
gfhu 乖和
gfhv 怪恚
gfhv 高峰会
gfhx 该负荷下
gfia 乖差
gfib 广泛传播
gfid 乖差
gfid 赶风柴
gfig 乖常
gfig 骨肥厂
gfih 寡凫单鹄
gfii 乖弛
gfik 怪嗔
gfil 共扶持了
gfis 怪虫
gfiu 怪厨
gfiv 过府冲州
gfiz 冠发城
gfiz 郭富城
gfjb 国防军
gfjd 钴方解石
gfje 伽菲伽而
gfjf 怪经
gfjh 怪圈
gfji 刮腹湔肠
gfji 高峰期
gfjj 古肥今瘠
gfjk 乖加
gfjl 共沸精镏
gfjm 乖蹇
gfjn 拐角
gfjp 乖节
gfjs 更复浇酥
gfjt 拐九
gfju 乖沮
gfju 钴方解石
gfjv 高附加值
gfjx 拐进
gfjy 乖阙
gfjy 光风霁月
gfjy 拐角
gfka 怪卡
gfke 怪客
gfkf 高峰会
gfko 乖阔
gfkv 广泛开展
gfkv 掴佢
gfl 辜负了
gfla 怪
gflb 怪论
gflc 拐老
gfld 怪来
gfle 怪了
gfle 辜负了
gflf 乖伶
gflf 瓜丰灵
gflf 耕富岭
gflg 怪浪
gflh 乖乱
gfli 乖戾
gfli 格复立
gfli 狗分例
gflj 高风亮节
gflk 沟繁缕科
gfll 拐良
gflm 怪联
gfln 怪了
gfln 辜负了
gflp 乖裂
gflq 光分路器
gflr 乖露
gfls 乖龙
gflt 官方论坛
gflu 乖露
gflu 国帆路
gflu 港富路
gflu 皋峰路
gflu 龚丰路
gflv 过风楼镇
gflx 桂馥兰香
gfly 赣锋锂业
gfma 怪马
gfmc 乖猫
gfmd 拐卖
gfmg 怪蟒
gfmi 怪秘
gfmj 国富民强
gfmk 拐门
gfmm 各方面
gfmq 国富民强
gfmt 乖谬
gfmu 瓜馥木
gfmu 瓜馥木属
gfmv 瓜馥木属
gfmw 乖昧
gfmw 果复每
gfmw 贾夫美
gfmx 怪民
gfmy 告符命仪
gfmz 灌夫骂座
gfn 夬
gfnd 古夫诺蒂
gfnf 骨风宁
gfni 怪你
gfnj 夬
gfnn 怪鸟
gfpc 拐跑
gfpi 怪僻
gfpj 乖叛
gfpm 拐骗
gfpm 更方便
gfpo 怪坡
gfpp 梗泛萍飘
gfq 高峰期
gfqe 伽菲伽而
gfqf 庚风庆
gfqh 怪圈
gfqh 狗非犬
gfqi 功分器
gfqi 恭逢其盛
gfqi 躬逢其盛
gfqi 高峰期
gfqk 怪卡
gfql 拐枪
gfqm 乖愆
gfqn 乖巧
gfqn 挂符桥
gfqq 故非其器
gfqu 恭逢其盛
gfqu 躬逢其盛
gfqu 过返去
gfqx 乖亲
gfqx 管风琴
gfqy 乖阙
gfrd 过复绕的
gfrk 怪人
gfrk 贵妇人
gfrl 官法如炉
gfru 拐入
gfsb 乖孙
gfsb 宫飞孙
gfsd 光发散的
gfse 咖啡色
gfse 怪涩
gfsg 乖丧
gfsi 古峰寺
gfsi 国分寺
gfsi 干凤寺
gfsi 怪似
gfsj 乖散
gfsr 国分寺稔
gfsv 歌富岁
gfsw 故发斯问
gft 乖
gfta 怪他
gftd 怪胎
gftd 歌风台
gfte 怪特
gftf 咖啡厅
gfth 孤凤啼痕
gfti 怪题
gftj 怪叹
gftk 乖
gftl 故非他累
gftm 谷凤田
gftn 乖调
gftr 拐头
gftu 怪图
gftv 拐腿
gfub 乖顺
gfud 光发射度
gfud 咖啡色
gfue 光辐射
gfue 怪慑
gfug 鬼斧神工
gfuh 寡凫单鹄
gfui 怪事
gfuj 光发射机
gfuk 怪神
gful 乖爽
gfum 高反射膜
gfuo 怪说
gfur 怪兽
gfut 干峰士昙
gfuu 乖殊
gfuv 怪说
gfuv 怪谁
gfuw 怪谁
gfuy 广泛使用
gfuz 怪声
gfva 怪咤
gfvb 广泛传播
gfvc 怪招
gfvc 怪着
gfvd 观复斋
gfve 怪着
gfve 购房者
gfve 顾复之恩
gfvg 干父之蛊
gfvg 拐杖
gfvi 乖侄
gfvi 光福志
gfvi 股份制
gfvi 郭发志
gfvj 广发证券
gfvj 狗吠之警
gfvl 怪状
gfvo 怪着
gfvq 广发证券
gfvr 拐肘
gfvs 乖衷
gfvu 拐住
gfvv 贾丰臻着
gfvx 夹辅之勋
gfvy 故非执依
gfvz 乖争
gfvz 桂方政
gfwc 个方位词
gfwg 乖亡
gfwj 拐弯
gfwk 乖紊
gfwm 咖酚伪麻
gfwo 怪我
gfwu 乖亡
gfwu 怪物
gfww 怪味
gfwx 过范围限
gfx 规范性
gfxd 钴方解石
gfxf 共沸性
gfxf 官符星
gfxf 怪形
gfxf 规范性
gfxf 郭发兴
gfxi 乖析
gfxi 咁复习
gfxi 歌祓禊
gfxk 怪侠
gfxl 光复乡
gfxl 怪相
gfxm 怪险
gfxm 高风险
gfxn 怪笑
gfxp 乖邪
gfxu 乖序
gfxu 钴方解石
gfxv 顾非熊撰
gfxx 胍法辛
gfxy 刮风下雨
gfya 怪讶
gfyb 高凤云
gfyc 怪妖
gfye 乖邪
gfyf 乖应
gfyg 怪样
gfyh 乖远
gfyi 怪异
gfyi 郭方颐
gfyj 乖言
gfyj 顾法严
gfyk 宫福伊康
gfyr 拐诱
gfys 革风易俗
gfys 龚发勇
gfyu 乖豫
gfyu 葛发余
gfyv 官复原职
gfyx 咖啡因
gfyx 怪音
gfyy 广泛应用
gfyy 怪说
gfza 乖杂
gfzc 拐枣
gfzd 怪哉
gfze 乖则
gfzh 高凤自秽
gfzi 乖子
gfzi 盖房子
gfzi 高分子
gfzr 拐走
gfzs 拐总
gfzu 孤芳自赏
gfzv 怪罪
gfzz 郭法曾
gg 港
ggab 固公昂邦
ggai 刚隘
ggan 刚安
ggan 戆暗
ggao 港澳
ggaq 公共安全
ggba 岗巴
ggbb 亘古不变
ggbc 杠包
ggbc 过宫炮
ggbd 乾光摆
ggbd 高冠博带
ggbf 各个部分
ggbg 杠棒
ggbi 港币
ggbi 钢笔
ggbj 钢板
ggbm 亘古不灭
ggbn 扛标
ggbn 肛表
ggbo 岗波
ggbr 格格不入
ggbu 公关部
ggbu 冈部
ggbw 刚被
ggbx 耿广彬
ggbx 葛国斌
ggbx 高广斌
ggbx 高贯斌
ggbz 钢崩
ggcb 挂沟村
ggcb 缸村
ggcc 纲曹
ggcd 刚才
ggcd 钢材
ggce 钢栅
ggci 刚刺
ggck 冈岑
ggco 钢锉
ggcs 刚从
ggcv 公共财政
ggcy 古桧存焉
ggcy 古谷苍韵
ggda 港大
ggdb 戆钝
ggdb 钢盾
ggdc 港岛
ggdd 归根到底
ggdd 港大
ggdf 钢锭
ggdg 个个都系咁
ggdh 港
ggdi 乖乖的
ggdi 改革的
ggdi 港的
ggdj 个个都咁讲
ggdl 盖棺定论
ggdm 钢垫
ggdn 港调
ggdo 刚度
ggdq 孤馆灯青
ggdr 咁鬼多人
ggds 冈东
ggds 咁鬼冻
ggds 鬼咁冻
ggdu 刚度
ggdu 港督
ggdv 岗堆
ggdx 革故鼎新
ggdz 港灯
gge 岗
ggee 钢轭
ggej 给高尔基
ggel 滚滚而来
ggen 岗
gger 光棍儿
ggey 滚瓜儿圆
ggf 扛
ggfa 改革方案
ggfg 刚方
ggfg 杠房
ggfi 扛
ggfj 钢钒
ggfk 刚分
ggfm 各个方面
ggfu 港府
ggfu 郭艮夫
ggfv 改革发展
ggfw 公共服务
ggfw 广告费
ggfz 刚风
ggga 刚夹
gggb 钢辊
gggd 鳏寡孤独
ggge 刚格
gggf 刚夬
gggg 刚刚
gggg 巩广刚
gggh 钢管
gggj 公共关系
gggj 刚乾
gggj 杠杆
gggl 公共管理
gggo 刚果
gggq 挂冠归去
gggq 高高挂起
gggr 钢构
gggs 广告公司
gggt 谷胱甘肽
gggu 功高盖世
gggu 钢骨
gggv 钢轨
gggw 刚给
gggx 公共关系
gggz 刚耿
gghb 钢魂
gghc 刚好
gghd 港海
gghe 港河
gghg 港行
gghh 光光滑滑
gghi 滚滚红尘
gghj 各个环节
gghl 高官厚禄
ggho 港货
gghq 钢花
gghr 肛后
gghs 港宏
gght 改国号唐
gghu 冈岵
gghv 刚会
gghz 广告合作
ggi 戆
ggia 刚察
ggie 古谷彻
ggie 扛车
ggie 钢车
ggig 咁鬼长
ggig 纲常
ggig 钢厂
ggih 公共场合
ggii 刚吃
ggij 港产
ggik 刚辰
ggik 郭广琛
ggik 高广臣
ggil 钢窗
ggip 公共产品
ggir 钢抽
ggis 公共场所
ggiu 刚出
ggiv 钢锤
ggiw 戆
ggix 改革创新
ggiz 刚成
ggjb 刚峻
ggjb 郭广君
ggjd 归根结底
ggjd 归根结蒂
ggjf 刚劲
ggjg 公共机构
ggjh 刚狷
ggjh 钢圈
ggji 刚给
ggji 纲纪
ggjj 贵古贱今
ggjk 刚夹
ggjk 刚架
ggjk 杠架
ggjl 刚强
ggjl 咁梗系啦
ggjm 刚健
ggjm 滚光间
ggjm 葛广建
ggjm 贾广健
ggjn 呱呱叫
ggjn 港校
ggjn 肛交
ggjp 各个击破
ggjp 戆介
ggjt 港九
ggju 戆居
ggju 扛车
ggju 港咀
ggju 钢车
ggjv 龚国强著
ggjw 亘古奇闻
ggjx 刚劲
ggjx 钢筋
ggjy 刚决
ggjy 刚夬
ggk 筻
ggka 钢卡
ggkd 乾光铠
ggkd 甘瓜苦蒂
ggke 刚克
ggke 夹夹客
ggke 观光客
ggkf 刚会
ggkf 改革开放
ggkh 筻
ggkj 刚看
ggkl 钢框
ggkr 港口
ggks 缸孔
ggkv 钢盔
ggkz 扛坑
ggla 刚落
ggla 咁咖啦
ggla 咁嘅啦
gglb 刚轮
gglc 刚落
ggld 盖棺论定
ggld 躬耕乐道
ggle 港乐
gglf 杠铃
gglf 纲领
gglg 钢啷
gglh 冈峦
ggli 光棍佬遇着冇皮柴
gglj 钢缆
ggll 光怪陆离
gglm 刚廉
gglm 寡骨脸
ggln 钢料
gglo 刚落
gglp 刚烈
gglq 割骨疗亲
gglr 肛瘘
ggls 冈陇
gglt 杠柳
gglu 桂果路
gglu 滚瓜烂熟
gglv 光功率
gglv 港旅
gglw 刚雷
gglx 冈林
ggly 各个领域
gglz 贵冠履轻头足
ggm 杠
ggma 刚么
ggma 过宫马
ggmc 刚毛
ggmd 刚买
ggme 刚么
ggmf 刚明
ggmf 咁嘅名
ggmf 龚桂明
ggmg 刮垢磨光
ggmh 高广妙好
ggmi 杠
ggmj 咁鬼慢
ggmj 高歌猛进
ggmk 肛门
ggmm 光光猛猛
ggmn 缸庙
ggmo 刚么
ggmt 钴铬钼头
ggmu 纲目
ggmw 桂纶镁
ggmw 港妹
ggmw 管桂梅
ggmx 刚敏
ggmz 刚猛
ggn 刚
ggna 冈纳
ggne 戆讷
ggnf 港宁
ggng 刚
ggni 咁咖你
ggni 肛
ggnj 港南
ggnn 鼓鼓囊囊
ggnt 纲纽
ggnu 钢怒
ggnv 咁乖女
ggnv 鬼古女
ggnw 港内
ggnx 冈
ggoo 咁咯喔
ggpc 刚跑
ggpc 过宫炮
ggpd 港派
ggpf 钢瓶
ggpg 杠房
ggph 庚癸频呼
ggpi 刚被
ggpi 戆僻
ggpi 钢坯
ggpj 钢盘
ggpk 缸盆
ggpm 广告片
ggpm 港片
ggpm 硅钢片
ggpn 刚剽
ggpo 冈坡
ggpu 刚朴
ggpu 戆朴
ggpw 戆胚
ggpw 葛光佩
ggpz 港鹏
ggq 罡
ggqb 顾广圻跋
ggqd 刮骨去毒
ggqe 罡
ggqf 港晴
ggqh 钢圈
ggqh 高广全
ggqi 夹轨器
ggqi 扛起
ggqi 顾广圻
ggqk 钢卡
ggql 刚强
ggql 扛枪
ggql 钢枪
ggqm 刚乾
ggqn 刚巧
ggqn 功果桥
ggqp 刚切
ggqq 挂冠求去
ggqs 贵公去私
ggqt 钢球
ggqu 刚去
ggqv 顾广圻撰
ggqv 龚国强著
ggqw 亘古奇闻
ggqx 钢琴
ggqy 骨干企业
ggre 杠热
ggri 刚日
ggrj 刚然
ggrk 港人
ggrr 刚柔
ggrs 港荣
ggru 刚入
ggrv 岗瑞
ggrv 高广仁著
ggry 冠盖如云
ggsb 岗孙
ggsd 刚塞
ggsd 歌功颂德
ggse 刚塞
ggsg 岗桑
ggsi 该公司
ggsi 钢丝
ggsk 钢森
ggsl 光杆司令
ggsn 冈谷三男
ggso 钢索
ggss 鬼鬼祟祟
ggsv 供骨髓者
ggta 港塔
ggta 葛公塔
ggtc 缸套
ggtc 耿冠涛
ggtc 高广涛
ggtd 港台
ggte 冈特
ggtf 岗亭
ggtf 广告投放
ggtg 港塘
ggtg 谷秆糖
ggti 刚体
ggtj 亘古通今
ggtm 冈田
ggtn 广告条
ggtn 港调
ggto 冈陀
ggtp 钢铁
ggtr 冈头
ggtr 狗刮头
ggts 港通
ggts 鬼骨瞳
ggtu 刚吐
ggtv 杠腿
ggtz 弓果藤
ggua 刚砂
ggub 港顺
gguc 岗哨
ggud 改革试点
ggue 刚折
gguf 光功率
ggug 广告商
ggug 港商
ggui 咁嘅事
ggui 港市
ggui 钢栅
gguj 冈山
gguj 钢栅
gguk 港深
ggul 高广殊丽
gguo 刚说
gguq 钢刷
ggur 广告收入
gguu 灌灌水水
gguv 刚说
gguv 钢水
gguw 公共事务
gguy 公共事业
gguz 刚生
gguz 顾广胜
ggv 缸
ggva 刚扎
ggva 钢栅
ggva 钢渣
ggvc 扛着
ggvc 钢爪
ggvd 呱呱坠地
ggve 刚折
ggve 扛着
ggve 改革者
ggvg 咁鬼长
ggvg 衮衮诸公
ggvh 庚癸之呼
ggvi 刚直
ggvi 缸
ggvi 骨鲠之臣
ggvj 过关斩将
ggvk 搞搞震
ggvk 钢枕
ggvk 高广珍
ggvk 高莞镇
ggvl 股肱之力
ggvm 孤馆乍眠
ggvo 扛着
ggvq 钢爪
ggvr 观过知仁
ggvs 巩广忠
ggvs 港中
ggvu 广告主
ggvu 钢珠
ggvv 功高震主
ggvz 刚正
ggw 纲
ggwa 缸瓦
ggwd 港外
ggwg 纲网
ggwj 拐个弯
ggwj 港弯
ggwj 港湾
ggwk 缸温
ggwk 贾贵文
ggwn 纲
ggwo 咁咯喔
ggwt 根固位体
ggwu 咁咯喔
ggwu 港务
ggww 岗位
ggww 广告位
ggww 蛤蛄围
ggww 谷广伟
ggwx 广国为狭
ggwy 亘古未有
ggxb 港讯
ggxd 关公细佬亦德
ggxf 刚性
ggxf 咁感性
ggxf 港行
ggxh 官官相护
ggxi 广告宣传
ggxj 高官显爵
ggxk 关桂霞
ggxk 刚下
ggxk 郭桂霞
ggxl 公馆乡
ggxl 咁梗系啦
ggxm 刚县
ggxn 咯咯笑
ggxn 格格笑
ggxn 港校
ggxp 港协
ggxp 高跟鞋
ggxq 过共析区
ggxt 过共析体
ggxu 刚需
ggxv 广告宣传
ggxw 冠盖相望
ggxx 高高兴兴
ggxy 刚学
ggxz 谷宫绚子
ggya 钢牙
ggyb 港运
ggyb 耿贵云
ggyc 纲要
ggyd 躬耕乐道
ggye 冈野
ggye 咁嘅嘢
ggyf 刚硬
ggyg 刚阳
ggyg 郭国洋
ggyh 港元
ggyh 耿耿于怀
ggyi 刚毅
ggyi 戈革译
ggyj 港沿
ggyj 高归彦
ggym 古关郁美
ggyq 供过于求
ggyr 肛疣
ggyr 高广有
ggys 咁咖意思
ggys 咁嘅意思
ggyu 刚域
ggyu 广告语
ggyu 给诰语
ggyv 顾广誉撰
ggyx 耿耿于心
ggyx 贾广印
ggyy 刚说
ggyy 港乐
ggyy 狗苟蝇营
ggyz 归故园作
ggz 钢
ggza 刚扎
ggzc 刚躁
ggzd 高干子弟
ggzh 骨鲠在喉
ggzi 冈子
ggzi 高个子
ggzn 钢
ggzo 刚做
ggzr 刚走
ggzr 扛走
ggzs 钢鬃
ggzu 高高在上
ggzv 港咀
ggzx 改过自新
ggzy 工歌再扬
ggzz 皋皋訾訾
ggzz 高广增
gh 关
gha 观
ghai 关爱
ghai 关隘
ghan 观
ghao 关坳
ghba 灌吧
ghbb 肝黑变病
ghbc 关堡
ghbc 管鲍
ghbc 观瀑
ghbd 关白
ghbf 官兵
ghbg 冠蚌
ghbi 关闭
ghbi 贯蔽
ghbj 冠板
ghbk 官本
ghbm 广惠编
ghbm 管边
ghbn 贯标
ghbo 管波
ghbp 贯蔽
ghbu 关补
ghbw 观背
ghbx 关斌
ghbz 冠蚌
ghcb 关村
ghcc 管槽
ghcd 棺材
ghcd 管材
ghce 观测
ghcg 馆藏
ghch 官攒
ghci 官差
ghcj 馆粲
ghcl 光辉灿烂
ghcs 灌丛
ghcu 过化存神
ghcy 古桧存焉
ghcz 冠层
ghd 灌
ghda 关大
ghdb 跟红顶白
ghdc 关岛
ghdc 管道
ghdd 关大
ghde 管得
ghdf 关定
ghdg 共和党
ghdg 官当
ghdh 灌
ghdi 关的
ghdi 官邸
ghdi 更好的
ghdj 关丹
ghdm 观点
ghdn 关掉
ghdn 姑获鸟
ghdn 涫
ghdn 观鸟
ghdo 管多
ghdp 关牒
ghdr 关豆
ghds 关东
ghdu 关渡
ghdv 鳏对
ghdw 管得
ghdz 关灯
ghdz 郭瀚澄
ghee 贯额
ghen 关恩
gher 干活儿
gher 莞尔
gher 过会儿
ghf 掼
ghfa 关法
ghfd 乾和福邸
ghfg 关房
ghfg 官方
ghfj 惯犯
ghfk 关坟
ghfl 诡辉分丽
ghfm 高灰分煤
ghfo 灌佛
ghfq 掼
ghfu 官府
ghfu 灌佛
ghfw 关飞
ghfz 关凤
ghg 共和国
ghga 管夹
ghgc 冠高
ghgd 灌溉
ghge 关个
ghge 咁好咯
ghge 港话咯
ghge 管蛤
ghgg 关港
ghgh 孤鸿寡鹄
ghgh 感化官
ghgj 观感
ghgl 寡鹄孤鸾
ghgl 滚红滚绿
ghgl 观光
ghgo 共和国
ghgo 关过
ghgq 鳏寡
ghgr 关沟
ghgs 关公
ghgt 各怀鬼胎
ghgu 关谷
ghgv 官桂
ghgw 关给
ghgy 各行各业
ghh 莞
ghha 管蛤
ghhb 冠婚
ghhc 管好
ghhd 关海
ghhe 关合
ghhe 骨灰盒
ghhf 关怀
ghhg 狗环巷
ghhg 莞
ghhh 官宦
ghhj 管涵
ghhl 冠皇
ghho 关火
ghhq 官话
ghhr 关后
ghhs 鹳
ghhu 关乎
ghhv 关会
ghhz 管桁
ghia 官差
ghia 观察
ghib 关春
ghic 关超
ghid 官差
ghie 贯彻
ghig 官场
ghig 惯常
ghig 赶河厂
ghig 馆长
ghih 贯串
ghih 贯穿
ghii 管吃
ghik 观尘
ghil 桂行创
ghim 共合成酶
ghiq 过河拆桥
ghis 关冲
ghiu 关出
ghiz 关城
ghiz 关盛
ghiz 郭瀚澄
ghjb 冠军
ghjb 规行矩步
ghjf 观景
ghjh 咁好机会
ghji 关机
ghji 关系
ghji 关给
ghji 管及
ghjj 孤行己见
ghjj 躬行节俭
ghjk 咁好机会
ghjk 管夹
ghjk 管家
ghjl 灌浆
ghjm 关键
ghjn 管教
ghjp 关节
ghjp 冠捷
ghjt 关灸
ghju 官居
ghju 规划局
ghjx 孤行己见
ghjx 锆合金
ghjy 观阙
ghk 管
ghka 关卡
ghka 咁好咯
ghka 港话咯
ghkb 管
ghkc 管考
ghkd 观开
ghkd 郭弘凯
ghke 关柯
ghkf 关会
ghkj 观看
ghkl 更何况
ghkl 鳏旷
ghkn 馆
ghko 关阔
ghkr 关
ghkr 关口
ghkr 果行可然
ghks 管控
ghku 更何况是
ghkv 管窥
ghkz 关坑
ghl 惯
ghla 梗喺啦
ghla 灌蜡
ghld 咯环利定
ghle 管乐
ghlg 关朗
ghli 官吏
ghli 惯例
ghli 管理
ghli 观礼
ghll 官虎吏狼
ghlm 关联
ghlm 关连
ghln 官僚
ghlo 关洛
ghlo 咁好咯
ghlo 港话咯
ghlp 观猎
ghlq 惯
ghls 关陇
ghlt 关刘
ghlu 管路
ghlw 关雷
ghm 棺
ghma 关马
ghmd 贯脉
ghmf 冠名
ghmf 郭鹤明
ghmg 灌莽
ghmi 官迷
ghmj 关满
ghmk 关门
ghmm 冠冕
ghmn 棺
ghmo 观摩
ghmp 咁好乜
ghmt 改换门庭
ghmu 棺木
ghmu 灌木
ghmw 冠美
ghmx 葛怀敏
ghmz 冠盟
ghmz 高慧萌
ghn 官
ghna 关慧娜
ghna 关纳
ghnb 官
ghnc 贯脑
ghnf 关宁
ghnh 冠
ghni 管你
ghnj 冈和男
ghnj 灌南
ghnm 观念
ghnn 姑获鸟
ghnn 观鸟
ghno 关慧娜
ghno 观傩
ghns 灌脓
ghnt 关纽
ghnu 官奴
ghnw 馆内
ghnz 功和能
ghnz 官能
ghnz 高耗能
ghou 观鸥
ghpc 管鲍
ghpd 干慧派
ghpd 管排
ghpf 关坪
ghpf 葛昊平
ghpf 郭惠平
ghpg 关房
ghpi 管坯
ghpj 关盘
ghpk 盥盆
ghpm 冠篇
ghpn 关票
ghpo 关坡
ghpp 贯蔽
ghpq 光混频器
ghpu 观瀑
ghpw 冠佩
ghpx 关聘
ghpz 关彭
ghq 贯
ghqb 冠群
ghqf 关箐
ghqf 割禾青
ghqh 贾会全
ghqi 官气
ghqk 关卡
ghql 官腔
ghqm 关倩
ghqn 关桥
ghqp 关切
ghqr 苟合取容
ghqr 贯
ghqt 冠球
ghqu 各行其是
ghqu 灌区
ghqu 灌渠
ghqu 管区
ghqv 夹寒箐镇
ghqy 观阙
ghr 爟
ghrh 爟
ghri 观日
ghrj 莞然
ghrk 关人
ghrk 咁话人
ghrr 鹳肉
ghrs 关荣
ghru 隔行如隔山
ghrv 关瑞
ghrx 蛊惑人心
ghry 各花入各眼
ghrz 果何人哉
ghsb 贯隼
ghsc 贯扫
ghsd 观赛
ghse 观色
ghsg 灌丧
ghsi 官司
ghsj 故获斯记
ghso 关所
ghss 关送
ghsu 冠素
ghsv 关燧
ghta 管他
ghtb 关屯
ghtc 巩慧韬
ghtc 馆陶
ghtd 关台
ghtf 关停
ghtf 恭行天罚
ghtf 贾焕亭
ghtf 顾荟婷
ghtg 观塘
ghti 关提
ghtj 关滩
ghtl 高含碳量
ghtm 关天
ghtn 关条
ghto 关托
ghtp 贯铁
ghtr 关头
ghtr 罐头
ghts 贯通
ghtu 冠突
ghtu 嘎亥图
ghtv 嘎亥图镇
ghtz 关腾
ghu 鳏
ghua 关煞
ghub 勾魂摄魄
ghuc 官绍
ghud 观色
ghue 关涉
ghuf 管帅
ghug 供货商
ghug 官商
ghug 观赏
ghuh 馆涮
ghui 关事
ghui 管事
ghuj 躬行实践
ghuk 罐身
ghuk 莞深
ghul 关爽
ghuo 关说
ghup 勾魂摄魄
ghuq 盥
ghuq 馆涮
ghuq 鳏
ghur 管绶
ghut 勾魂摄魄
ghuu 灌输
ghuu 管束
ghuv 关税
ghuv 关说
ghuv 灌水
ghuv 管谁
ghuw 管谁
ghuz 关盛
ghv 罐
ghva 关闸
ghva 官扎
ghvb 管准
ghvc 关照
ghvc 关着
ghve 关着
ghve 咁或者
ghvf 膏火之费
ghvg 馆长
ghvh 罐
ghvi 官职
ghvi 管制
